is_cheating,delta_yaw,delta_pitch,accel_yaw,accel_pitch,jerk_yaw,jerk_pitch,gcd_error_yaw,gcd_error_pitch,is_on_ground,is_sprinting,is_sneaking,is_using_item,player_speed_horizontal,player_fall_distance,is_attacking,ticks_since_attack
0,1.886963,-0.125820,1.006592,1.006561,-0.754639,0.000000,0.019058,0.000000,0,1,0,0,0.034680,0.000000,1,0
0,0.880615,-0.377460,1.006348,0.251640,-0.000244,-0.754921,0.008926,0.000000,1,1,0,0,0.024160,0.000000,0,1
0,-0.880859,0.251640,0.000244,0.125820,-1.006104,-0.125820,0.009171,0.000000,0,1,0,0,0.327279,0.000000,0,2
0,-0.377563,0.251640,0.503296,0.000000,0.503052,-0.125820,0.003983,0.000000,0,1,0,0,0.201986,0.000000,0,3
0,-1.509888,0.629101,1.132324,0.377460,0.629028,0.377460,0.015564,0.000000,0,1,0,0,0.207959,0.000000,0,4
0,-1.635620,0.629101,0.125732,0.000000,-1.006592,-0.377460,0.016769,0.000000,0,0,0,0,0.214029,0.000000,0,5
0,-1.006714,0.251640,0.628906,0.377460,0.503174,0.377460,0.010498,0.000000,0,0,0,0,0.205133,0.000000,0,6
0,-3.900269,0.754921,2.893555,0.503281,2.264648,0.125820,0.039932,0.000000,0,0,0,0,0.199383,0.000000,0,7
0,-3.522949,0.251640,0.377319,0.503281,-2.516235,0.000000,0.036194,0.000000,0,0,0,0,0.196041,0.000000,0,8
0,-0.125854,0.000000,3.397095,0.251640,3.019775,-0.251640,0.001328,0.000000,0,1,0,0,0.193870,0.000000,0,9
0,-1.006470,-0.377460,0.880615,0.377460,-2.516479,0.125820,0.010254,0.000000,0,1,0,0,0.202080,0.000000,0,10
0,0.000000,-0.125820,1.006470,0.251640,0.125854,-0.125820,0.000000,0.000000,0,1,0,0,0.209632,0.000000,0,11
0,-2.264771,0.000000,2.264771,0.125820,1.258301,-0.125820,0.023285,0.000000,0,1,0,0,0.216426,0.000000,0,12
0,-8.429810,0.251640,6.165039,0.251640,3.900269,0.125820,0.038025,0.000000,1,1,0,0,0.221928,0.000000,0,13
0,-2.516357,0.377460,5.913452,0.125820,-0.251587,-0.125820,0.025818,0.000000,0,1,0,0,0.470737,0.000000,0,14
0,0.629028,0.503281,1.887329,0.125820,-4.026123,0.000000,0.006393,0.000000,0,1,0,0,0.282632,0.000000,0,15
0,-0.880737,0.629101,0.251709,0.125820,-1.635620,0.000000,0.009048,0.000000,0,1,0,0,0.282930,0.000000,0,16
0,-0.755005,0.754921,0.125732,0.125820,-0.125977,0.000000,0.007843,0.000000,0,1,0,0,0.283287,0.000000,0,17
0,-1.761353,1.006561,1.006348,0.251640,0.880615,0.125820,0.017975,0.000000,0,1,0,0,0.283714,0.000000,0,18
0,-2.767822,2.013124,1.006470,1.006563,0.000122,0.754923,0.028229,0.000002,0,1,0,0,0.284172,0.000000,0,19
0,-3.145264,1.761482,0.377441,0.251642,-0.629028,-0.754921,0.032089,0.000000,0,1,0,0,0.284584,0.000000,0,20
0,-11.826904,2.893864,8.681641,1.132381,8.304199,0.880739,0.003159,0.000000,0,1,0,0,0.284320,0.000000,0,21
0,-12.078857,1.887302,0.251953,1.006561,-8.429688,-0.125820,0.000259,0.000000,0,1,0,0,0.282622,0.000000,1,0
0,-0.880615,0.000000,11.198242,1.887302,10.946289,0.880741,0.008926,0.000000,0,1,0,0,0.178527,0.000000,0,1
0,-11.197754,0.754921,10.317139,0.754921,-0.881104,-1.132381,0.009674,0.000000,0,1,0,0,0.185235,0.000000,0,2
0,-3.145264,0.251640,8.052490,0.503281,-2.264648,-0.251640,0.032089,0.000000,1,1,0,0,0.191527,0.000000,0,3
0,-8.681885,0.503281,5.536621,0.251640,-2.515869,-0.251640,0.035004,0.000000,0,1,0,0,0.416705,0.000000,0,4
0,-6.794189,0.125820,1.887695,0.377460,-3.648926,0.125820,0.054794,0.000000,0,1,0,0,0.253517,0.000000,0,5
0,-2.768066,0.125820,4.026123,0.000000,2.138428,-0.377460,0.028473,0.000000,0,1,0,0,0.256653,0.000000,0,6
0,-5.158691,0.125820,2.390625,0.000000,-1.635498,0.000000,0.053085,0.000000,0,1,0,0,0.259300,0.000000,0,7
