is_cheating,delta_yaw,delta_pitch,accel_yaw,accel_pitch,jerk_yaw,jerk_pitch,gcd_error_yaw,gcd_error_pitch,is_on_ground,is_sprinting,is_sneaking,is_using_item,player_speed_horizontal,player_fall_distance,is_attacking,ticks_since_attack
0,5.484009,-10.022552,0.567352,5.105831,-17.586700,1.891048,0.029694,0.000036,0,0,0,0,0.037676,0.000000,0,11
0,1.701935,-16.452108,3.782074,6.429556,3.214722,1.323725,0.009216,0.000053,0,0,0,0,0.046238,0.000000,0,12
0,5.105804,-8.509710,3.403870,7.942398,-0.378204,1.512842,0.027649,0.000027,0,0,0,0,0.055366,0.000000,0,13
0,11.535400,-3.971199,6.429596,4.538511,3.025726,-3.403887,0.062531,0.000013,0,0,0,0,0.066284,0.000000,0,14
0,5.105865,0.378210,6.429535,3.592989,-0.000061,-0.945522,0.027710,0.000002,1,0,0,0,0.077176,0.000000,0,15
0,5.105865,0.378210,6.429535,3.592989,-0.000061,-0.945522,0.027710,0.000002,1,0,0,0,0.205092,0.000000,0,16
0,5.105865,0.378210,6.429535,3.592989,-0.000061,-0.945522,0.027710,0.000002,1,0,0,0,0.013334,0.000000,0,17
0,-0.189117,-0.189105,4.916748,0.189105,-1.512787,-3.403884,0.001038,0.000001,1,0,0,0,0.013334,0.000000,0,18
0,-0.189117,-0.189105,4.916748,0.189105,-1.512787,-3.403884,0.001038,0.000001,1,0,0,0,0.000000,0.000000,0,19
0,0.567352,3.971198,0.378235,3.782093,-4.538513,3.592988,0.003113,0.000012,1,0,0,0,0.000000,0.000000,0,20
0,0.567352,1.891048,0.000000,2.080150,-0.378235,-1.701943,0.003113,0.000008,1,0,0,0,0.000000,0.000000,0,21
0,0.189117,0.189105,0.378235,1.701943,0.378235,-0.378206,0.001038,0.000001,1,0,0,0,0.000000,0.000000,0,22
0,0.189117,0.189105,0.000000,0.000000,-0.378235,-1.701943,0.001038,0.000001,1,0,0,0,0.000000,0.000000,0,23
0,0.189117,0.189105,0.000000,0.000000,-0.378235,-1.701943,0.001038,0.000001,1,0,0,0,0.000000,0.000000,0,24
0,-9.833405,4.727617,9.644287,4.538512,9.644287,4.538512,0.053253,0.000015,1,0,0,0,0.000000,0.000000,0,25
